celery-worker  | DEBUG 2025-07-16 16:01:22,301 seat_pack_sync New pack bsf_pk_eabbc24369e70c15: create from 0 sources
celery-worker  | DEBUG 2025-07-16 16:01:22,301 seat_pack_sync New pack bsf_pk_dfcda0fd074fce4b: create from 0 sources
celery-worker  | DEBUG 2025-07-16 16:01:22,301 seat_pack_sync New pack bsf_pk_68008b647290c349: create from 0 sources
celery-worker  | DEBUG 2025-07-16 16:01:22,301 seat_pack_sync New pack bsf_pk_cab84bd634709921: create from 0 sources
celery-worker  | DEBUG 2025-07-16 16:01:22,301 seat_pack_sync New pack bsf_pk_0fd369c397f5d8a6: create from 0 sources
celery-worker  | DEBUG 2025-07-16 16:01:22,301 seat_pack_sync New pack bsf_pk_c02ff5546d4fe8fa: create from 0 sources
celery-worker  | DEBUG 2025-07-16 16:01:22,301 seat_pack_sync New pack bsf_pk_fa69c8762c6c15a4: create from 0 sources
celery-worker  | INFO 2025-07-16 16:01:22,301 seat_pack_sync Sync plan generated: 65 create, 0 update, 0 delist, 0 sync
celery-worker  | INFO 2025-07-16 16:01:22,301 sync_plan_executor 📋 SYNC EXECUTOR DEBUG: Generated sync plan - 65 creations, 0 delistings, 0 updates, 0 syncs
celery-worker  | DEBUG 2025-07-16 16:01:22,301 sync_plan_executor 🔍 SYNC EXECUTOR DEBUG: Validating sync plan...
celery-worker  | INFO 2025-07-16 16:01:22,301 sync_plan_executor ✅ SYNC EXECUTOR DEBUG: Sync plan validation passed
celery-worker  | INFO 2025-07-16 16:01:22,301 sync_plan_executor ⚡ SYNC EXECUTOR DEBUG: Executing sync plan...
celery-worker  | INFO 2025-07-16 16:01:22,301 sync_plan_executor Executing sync plan: 0 delistings, 65 creations, 0 syncs
celery-worker  | DEBUG 2025-07-16 16:01:22,301 sync_plan_executor Pack bsf_pk_cf54bc287e36591d has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,302 sync_plan_executor Created new pack bsf_pk_cf54bc287e36591d: create
celery-worker  | DEBUG 2025-07-16 16:01:22,302 sync_plan_executor Pack bsf_pk_c23a841ef4882ccf has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,303 sync_plan_executor Created new pack bsf_pk_c23a841ef4882ccf: create
celery-worker  | DEBUG 2025-07-16 16:01:22,303 sync_plan_executor Pack bsf_pk_ed0bb8a459523065 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_ORC', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,304 sync_plan_executor Created new pack bsf_pk_ed0bb8a459523065: create
celery-worker  | DEBUG 2025-07-16 16:01:22,304 sync_plan_executor Pack bsf_pk_10f2440b8fa44f0f has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,305 sync_plan_executor Created new pack bsf_pk_10f2440b8fa44f0f: create
celery-worker  | DEBUG 2025-07-16 16:01:22,305 sync_plan_executor Pack bsf_pk_4f3d463930e0d039 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_ORC', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,305 sync_plan_executor Created new pack bsf_pk_4f3d463930e0d039: create
celery-worker  | DEBUG 2025-07-16 16:01:22,306 sync_plan_executor Pack bsf_pk_4da508b804e4f5a5 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_ORC', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,306 sync_plan_executor Created new pack bsf_pk_4da508b804e4f5a5: create
celery-worker  | DEBUG 2025-07-16 16:01:22,307 sync_plan_executor Pack bsf_pk_17cb37954d46c613 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,307 sync_plan_executor Created new pack bsf_pk_17cb37954d46c613: create
celery-worker  | DEBUG 2025-07-16 16:01:22,308 sync_plan_executor Pack bsf_pk_4f4fb3982d910a1b has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,308 sync_plan_executor Created new pack bsf_pk_4f4fb3982d910a1b: create
celery-worker  | DEBUG 2025-07-16 16:01:22,309 sync_plan_executor Pack bsf_pk_aac1ac0ac35f6804 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,309 sync_plan_executor Created new pack bsf_pk_aac1ac0ac35f6804: create
celery-worker  | DEBUG 2025-07-16 16:01:22,310 sync_plan_executor Pack bsf_pk_a1b42052806114f1 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,310 sync_plan_executor Created new pack bsf_pk_a1b42052806114f1: create
celery-worker  | DEBUG 2025-07-16 16:01:22,311 sync_plan_executor Pack bsf_pk_007f9592bd50dd67 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,311 sync_plan_executor Created new pack bsf_pk_007f9592bd50dd67: create
celery-worker  | DEBUG 2025-07-16 16:01:22,312 sync_plan_executor Pack bsf_pk_a088fa55ecf73ebe has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,313 sync_plan_executor Created new pack bsf_pk_a088fa55ecf73ebe: create
celery-worker  | DEBUG 2025-07-16 16:01:22,313 sync_plan_executor Pack bsf_pk_bf722ef4c2e4e1b4 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,314 sync_plan_executor Created new pack bsf_pk_bf722ef4c2e4e1b4: create
celery-worker  | DEBUG 2025-07-16 16:01:22,315 sync_plan_executor Pack bsf_pk_7e195c9f6f2752af has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_ORC', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,315 sync_plan_executor Created new pack bsf_pk_7e195c9f6f2752af: create
celery-worker  | DEBUG 2025-07-16 16:01:22,316 sync_plan_executor Pack bsf_pk_674a60dcd3e28445 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,316 sync_plan_executor Created new pack bsf_pk_674a60dcd3e28445: create
celery-worker  | DEBUG 2025-07-16 16:01:22,317 sync_plan_executor Pack bsf_pk_bdc1450169eeefa6 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,318 sync_plan_executor Created new pack bsf_pk_bdc1450169eeefa6: create
celery-worker  | DEBUG 2025-07-16 16:01:22,318 sync_plan_executor Pack bsf_pk_451342e477bf8d90 has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,318 sync_plan_executor Created new pack bsf_pk_451342e477bf8d90: create
celery-worker  | DEBUG 2025-07-16 16:01:22,319 sync_plan_executor Pack bsf_pk_bcac8088ae526d1e has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,319 sync_plan_executor Created new pack bsf_pk_bcac8088ae526d1e: create
celery-worker  | DEBUG 2025-07-16 16:01:22,320 sync_plan_executor Pack bsf_pk_000df3c071d4d7ad has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_ORC', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,320 sync_plan_executor Created new pack bsf_pk_000df3c071d4d7ad: create
celery-worker  | DEBUG 2025-07-16 16:01:22,320 sync_plan_executor Pack bsf_pk_a1429aec1daae8fa has string level ID 'bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_MEZZ', using zone level instead
celery-worker  | DEBUG 2025-07-16 16:01:22,321 sync_plan_executor Created new pack bsf_pk_a1429aec1daae8fa: create
